idx,bus,p_mw_mean,p_mw_std,p_mw_min,p_mw_max,q_mvar_mean,q_mvar_std,q_mvar_min,q_mvar_max,max_p_mw_first,min_p_mw_first,pct_at_pmax,pct_at_pmin,gen_label
0.0,0,17.68935049165241,2.373436608666926,0.0,20.000000969398922,1.0539155525922441,1.059036219802359,-9.999998768581112e-07,8.576448080230916,20.0,16.0,1.3492597357645262,3.0629371542766832,G0@B0
1.0,0,17.697383278472653,2.3435721714868496,0.0,20.000000969398922,1.0554438738947032,1.060265319783232,-9.999998768581112e-07,8.576448080230916,20.0,16.0,1.3557905186094656,3.0230993789225518,G1@B0
2.0,0,42.31473975959125,18.471797583896265,0.0,76.00000096939942,-1.4034493197963407,1.0643107305029078,-2.5028653976915716,6.076448080230914,76.0,15.2,0.9247588508434506,2.8252166587208807,G2@B0
3.0,0,42.28967605380932,18.475992489047847,0.0,76.00000096939942,-1.4033935978048937,1.0637431862472984,-2.5028653976915716,6.076448080230914,76.0,15.2,0.9306365554038962,2.8604828860835547,G3@B0
4.0,1,17.65784170676808,2.3777433680805866,0.0,20.00000099999332,0.9124511703199093,0.9637843985410393,-9.999998606916912e-07,9.990055734185324,20.0,16.0,1.1324377453125307,3.3169846069448345,G4@B1
5.0,1,17.661398354752546,2.3646079456072924,0.0,20.00000099999332,0.9129266700508633,0.9643786411251501,-9.999998606916912e-07,9.990055734185324,20.0,16.0,1.1304785104590487,3.3013107281169796,G5@B1
6.0,1,40.8889240387945,18.467290793824514,0.0,76.00000099999335,-1.5437242567831648,0.9756526322718916,-2.5016012453871963,7.490055734185407,76.0,15.2,0.79610242879814,3.130204217579561,G6@B1
7.0,1,40.949247808844035,18.4470770108545,0.0,76.00000099999335,-1.546380653025512,0.9741841634839244,-2.501601245380091,7.490055734185407,76.0,15.2,0.813082464194983,3.0394263360349005,G7@B1
8.0,6,76.67642884574337,16.56931334455078,0.0,99.99995731502442,11.819177475565953,3.3438765759503584,0.0,41.56245287965611,100.0,25.0,0.9900666792928469,1.7077997139517114,G8@B6
9.0,6,76.70446267540751,16.513166372539004,0.0,99.99999846454,11.823979669309232,3.334814696545624,0.0,41.21112888915209,100.0,25.0,1.0083528712586778,1.6757988780115072,G9@B6
10.0,6,76.72961384936171,16.452426468658977,0.0,99.99999846453998,11.83156354761729,3.335572741458144,0.0,41.56245287965611,100.0,25.0,0.9913728358618347,1.6385734157953513,G10@B6
11.0,12,169.65108368141804,25.193837112350305,68.9999990000006,197.00000196999582,26.26016465030959,3.573591561247446,12.39248967651985,54.419698367411165,197.0,69.0,7.758570019788272,0.36245844789414905,G11@B12
12.0,12,169.65026181523515,25.19734076516227,68.9999990000006,197.00000196999582,26.260164650309324,3.573591561247456,12.39248967651985,54.419698367411165,197.0,69.0,7.758570019788272,0.364417682747631,G12@B12
13.0,12,169.65221256137792,25.19307034948219,68.9999990000006,197.00000196999582,26.260164650309324,3.573591561247456,12.39248967651985,54.419698367411165,197.0,69.0,7.757916941503779,0.36376460446313696,G13@B12
14.0,13,0.0,0.0,0.0,0.0,74.02136219073176,8.511203018992846,0.0,75.00000144659926,0.0,0.0,100.0,100.0,G14@B13
15.0,14,8.701170663879147,1.9785171111250262,0.0,12.000000999999067,4.336705368575266,1.4195328131615241,-9.84063164048227e-07,6.000000999999921,12.0,2.4,8.845945363470719,1.7077997139517114,G15@B14
16.0,14,8.699749245098804,1.9832091371664553,0.0,12.000000999999067,4.3361109665148465,1.421146881660405,-9.840631640495822e-07,6.000000999999921,12.0,2.4,8.849863833177682,1.7358820801849517,G16@B14
17.0,14,8.69732492439682,1.9872077446694543,0.0,12.000000999999067,4.334409289897305,1.4223827500301063,-9.84063164048227e-07,6.000000999999921,12.0,2.4,8.849863833177682,1.7561275070042646,G17@B14
18.0,14,8.696101508534971,1.991484396635918,0.0,12.000000999999067,4.33377099282959,1.424011216214219,-9.84063164059069e-07,6.000000999999921,12.0,2.4,8.855088459453635,1.7796383252460473,G18@B14
19.0,14,8.70168686473713,1.9787656327279952,0.0,12.000000999999067,4.336916730648486,1.4196683390487186,-9.840631640495822e-07,6.000000999999921,12.0,2.4,8.849863833177682,1.7123712619431692,G19@B14
20.0,14,140.28141150143418,20.622321694944603,0.0,155.00000154999907,16.28514391941211,1.9310147880727884,0.0,18.00287597236538,155.0,54.29999999999999,8.647409564984555,0.8437771435661993,G20@B14
21.0,15,135.9965200431753,23.8512649269279,0.0,155.00000154999782,11.940980207978397,3.1016955038547036,-2.9434650336706123,22.877926509666306,155.0,54.29999999999999,9.107176677268304,1.5504078473886664,G21@B15
22.0,17,276.6943039972308,62.13432679277306,0.0,400.0000039999334,51.760110451800735,5.47697187487805,0.0,70.34573162612593,400.0,100.0,2.667824792157836,0.9750458787494858,G22@B17
