scenario,ac,dc
0,0.0969998836517334,0.0019998550415039062
1,0.11299991607666016,0.003000020980834961
2,0.07800006866455078,0.003000020980834961
3,0.08599996566772461,0.0019998550415039062
4,0.09200000762939453,0.003000020980834961
5,0.07899999618530273,0.003000020980834961
6,0.06200003623962402,0.002000093460083008
7,0.08800005912780762,0.002000093460083008
8,0.04699993133544922,0.002000093460083008
9,0.07000017166137695,0.002000093460083008
10,0.06599998474121094,0.0019998550415039062
11,0.07999992370605469,0.0010001659393310547
12,0.032000064849853516,0.0019998550415039062
13,0.07399988174438477,0.0019998550415039062
14,0.05500006675720215,0.0009999275207519531
15,0.029000043869018555,0.0009999275207519531
16,0.042999982833862305,0.002000093460083008
17,0.08599996566772461,0.0019998550415039062
18,0.07300019264221191,0.003000020980834961
19,0.0690000057220459,0.002000093460083008
20,0.14499998092651367,0.003000020980834961
21,0.14499998092651367,0.0019998550415039062
22,0.127000093460083,0.003000020980834961
23,0.13900017738342285,0.002000093460083008
24,0.0970001220703125,0.003000020980834961
25,0.17100000381469727,0.002000093460083008
26,0.16700005531311035,0.0019998550415039062
27,0.05499982833862305,0.002000093460083008
28,0.10899996757507324,0.003000020980834961
29,0.14499998092651367,0.0009999275207519531
30,0.1100001335144043,0.0019998550415039062
31,0.11500000953674316,0.0019998550415039062
32,0.18000006675720215,0.003000020980834961
33,0.16100001335144043,0.002000093460083008
34,0.15599989891052246,0.0009999275207519531
35,0.1640000343322754,0.002000093460083008
36,0.17599987983703613,0.002000093460083008
37,0.16700005531311035,0.0019998550415039062
38,0.10300016403198242,0.002000093460083008
39,0.03699994087219238,0.002000093460083008
40,0.06399989128112793,0.002000093460083008
41,0.05099987983703613,0.002000093460083008
42,0.03400015830993652,0.002000093460083008
43,0.09999990463256836,0.0019998550415039062
44,0.0820000171661377,0.003000020980834961
45,0.02200007438659668,0.0009999275207519531
46,0.05900001525878906,0.002000093460083008
47,0.06700015068054199,0.002000093460083008
48,0.05000019073486328,0.0009999275207519531
49,0.06700015068054199,0.0019998550415039062
50,0.07500004768371582,0.0019998550415039062
51,0.08999991416931152,0.0019998550415039062
52,0.0559999942779541,0.0009999275207519531
53,0.032000064849853516,0.0019998550415039062
54,0.0690000057220459,0.0009999275207519531
55,0.03699994087219238,0.0019998550415039062
56,0.08299994468688965,0.003000020980834961
57,0.09000015258789062,0.002000093460083008
58,0.0710000991821289,0.0019998550415039062
59,0.11300015449523926,0.0019998550415039062
60,0.10100007057189941,0.002000093460083008
61,0.05099987983703613,0.0010001659393310547
62,0.09999990463256836,0.002000093460083008
63,0.04800009727478027,0.002000093460083008
64,0.07299995422363281,0.0019998550415039062
65,0.14499998092651367,0.002000093460083008
66,0.0840001106262207,0.003000020980834961
67,0.10399985313415527,0.003000020980834961
68,0.0969998836517334,0.0019998550415039062
69,0.10500001907348633,0.0009999275207519531
70,0.053999900817871094,0.003000020980834961
71,0.13100004196166992,0.0019998550415039062
72,0.07299995422363281,0.002000093460083008
73,0.09599995613098145,0.0019998550415039062
74,0.0690000057220459,0.0009999275207519531
75,0.09600019454956055,0.0019998550415039062
76,0.13899993896484375,0.002000093460083008
77,0.09999990463256836,0.002000093460083008
78,0.05200004577636719,0.0019998550415039062
79,0.11800003051757812,0.0019998550415039062
80,0.0820000171661377,0.0019998550415039062
81,0.08799982070922852,0.0019998550415039062
82,0.125,0.002000093460083008
83,0.13300013542175293,0.002000093460083008
84,0.18499994277954102,0.002000093460083008
85,0.0410001277923584,0.003000020980834961
86,0.14299988746643066,0.0019998550415039062
87,0.17500019073486328,0.002000093460083008
88,0.07999992370605469,0.0010001659393310547
89,0.12999987602233887,0.003000020980834961
90,0.16100001335144043,0.002000093460083008
91,0.06999993324279785,0.002000093460083008
92,0.04399991035461426,0.003999948501586914
93,0.0989999771118164,0.003000020980834961
94,0.14400005340576172,0.002000093460083008
95,0.19899988174438477,0.003000020980834961
96,0.16199994087219238,0.0019998550415039062
97,0.13499999046325684,0.0019998550415039062
98,0.15999984741210938,0.003000020980834961
99,0.12299990653991699,0.003000020980834961
100,0.2049999237060547,0.003000020980834961
101,0.14399981498718262,0.002000093460083008
102,0.1960000991821289,0.0029997825622558594
103,0.14599990844726562,0.0019998550415039062
104,0.09299993515014648,0.002000093460083008
105,0.17799997329711914,0.002000093460083008
106,0.18899989128112793,0.003000020980834961
107,0.1960000991821289,0.002000093460083008
108,0.2390000820159912,0.003999948501586914
109,0.1979999542236328,0.002000093460083008
110,0.16099977493286133,0.002000093460083008
111,0.1770000457763672,0.0019998550415039062
112,0.17400002479553223,0.0019998550415039062
113,0.1640000343322754,0.002000093460083008
114,0.1809999942779541,0.003000020980834961
115,0.15700006484985352,0.002000093460083008
116,0.1770000457763672,0.0019998550415039062
117,0.17499995231628418,0.0009999275207519531
118,0.1790001392364502,0.003000020980834961
119,0.16499996185302734,0.002000093460083008
120,0.19099998474121094,0.0019998550415039062
121,0.182999849319458,0.003000020980834961
122,0.16200017929077148,0.002000093460083008
123,0.127000093460083,0.002000093460083008
124,0.13300013542175293,0.003000020980834961
125,0.14499998092651367,0.003000020980834961
126,0.12199997901916504,0.0019998550415039062
127,0.11800003051757812,0.003000020980834961
128,0.27900004386901855,0.003000020980834961
129,0.10399985313415527,0.003000020980834961
130,0.16300010681152344,0.002000093460083008
131,0.11700010299682617,0.0009999275207519531
132,0.08100008964538574,0.003000020980834961
133,0.2669999599456787,0.002000093460083008
134,0.14500021934509277,0.0009999275207519531
135,0.1419999599456787,0.002000093460083008
136,0.056999921798706055,0.0019998550415039062
137,0.16199994087219238,0.002000093460083008
138,0.13700008392333984,0.002000093460083008
139,0.16199994087219238,0.003000020980834961
140,0.1549999713897705,0.0019998550415039062
141,0.18200016021728516,0.002000093460083008
142,0.12000012397766113,0.0019998550415039062
143,0.09600019454956055,0.003000020980834961
144,0.1660001277923584,0.002000093460083008
145,0.10699987411499023,0.002000093460083008
146,0.11100006103515625,0.003000020980834961
147,0.16700005531311035,0.0019998550415039062
148,0.10199999809265137,0.003000020980834961
149,0.18199992179870605,0.0009999275207519531
150,0.22600007057189941,0.003000020980834961
151,0.1509997844696045,0.002000093460083008
152,0.1530001163482666,0.002000093460083008
153,0.22300004959106445,0.002000093460083008
154,0.16100001335144043,0.003999948501586914
155,0.1510000228881836,0.0019998550415039062
156,0.1809999942779541,0.003000020980834961
157,0.16700005531311035,0.002000093460083008
158,0.1380000114440918,0.003000020980834961
159,0.16899991035461426,0.002000093460083008
160,0.2109999656677246,0.0019998550415039062
161,0.1809999942779541,0.002000093460083008
162,0.11400008201599121,0.002000093460083008
163,0.15699982643127441,0.0029997825622558594
164,0.18900012969970703,0.002000093460083008
165,0.13399982452392578,0.002000093460083008
166,0.2220001220703125,0.003000020980834961
167,0.17199993133544922,0.002000093460083008
168,0.11100006103515625,0.0009999275207519531
169,0.1699998378753662,0.003000020980834961
170,0.0839998722076416,0.0029997825622558594
171,0.15899991989135742,0.002000093460083008
172,0.24499988555908203,0.003000020980834961
173,0.17799997329711914,0.003000020980834961
174,0.19299983978271484,0.002000093460083008
175,0.1789999008178711,0.0019998550415039062
176,0.09800004959106445,0.0019998550415039062
177,0.19000005722045898,0.002000093460083008
178,0.1789999008178711,0.002000093460083008
179,0.1380000114440918,0.003000020980834961
180,0.16900014877319336,0.002000093460083008
181,0.12800002098083496,0.002000093460083008
182,0.18499994277954102,0.0019998550415039062
183,0.04200005531311035,0.002000093460083008
184,0.11500000953674316,0.002000093460083008
185,0.11700010299682617,0.0019998550415039062
186,0.17400002479553223,0.002000093460083008
187,0.1490001678466797,0.002000093460083008
188,0.10599994659423828,0.0019998550415039062
189,0.1639997959136963,0.0019998550415039062
190,0.1660001277923584,0.003000020980834961
191,0.11599993705749512,0.002000093460083008
192,0.16899991035461426,0.0009999275207519531
193,0.07500004768371582,0.0019998550415039062
194,0.09200000762939453,0.0019998550415039062
195,0.12600016593933105,0.002000093460083008
196,0.1100001335144043,0.002000093460083008
197,0.08099985122680664,0.002000093460083008
198,0.08899998664855957,0.003000020980834961
199,0.08800005912780762,0.0019998550415039062
200,0.09399986267089844,0.0019998550415039062
201,0.10100007057189941,0.002000093460083008
202,0.06500005722045898,0.0019998550415039062
203,0.057000160217285156,0.0010001659393310547
204,0.06599998474121094,0.0019998550415039062
205,0.04500007629394531,0.002000093460083008
206,0.09299993515014648,0.002000093460083008
207,0.15599989891052246,0.003000020980834961
208,0.08600020408630371,0.002000093460083008
209,0.13199996948242188,0.0019998550415039062
210,0.13099980354309082,0.002000093460083008
211,0.15999984741210938,0.002000093460083008
212,0.06499981880187988,0.0010001659393310547
213,0.1640000343322754,0.0019998550415039062
214,0.08099985122680664,0.002000093460083008
215,0.11799979209899902,0.002000093460083008
216,0.14499998092651367,0.002000093460083008
217,0.10800004005432129,0.002000093460083008
